diagnostique,maladie,symptome
1,panic disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, breathing fast"
1,panic disorder,"depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, breathing fast"
1,panic disorder,"anxiety and nervousness, depressive or psychotic symptoms, dizziness, insomnia, chest tightness, palpitations, breathing fast"
1,panic disorder,"depressive or psychotic symptoms, dizziness, chest tightness, palpitations, irregular heartbeat"
1,panic disorder,"depression, shortness of breath, dizziness, insomnia, abnormal involuntary movements, chest tightness, irregular heartbeat, breathing fast"
1,panic disorder,"depression, shortness of breath, dizziness, insomnia, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"depression, shortness of breath, dizziness, irregular heartbeat"
1,panic disorder,"depressive or psychotic symptoms, insomnia, chest tightness"
1,panic disorder,"abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, dizziness, insomnia, chest tightness, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, abnormal involuntary movements, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, dizziness, palpitations, irregular heartbeat"
1,panic disorder,"depression, abnormal involuntary movements, chest tightness, irregular heartbeat"
1,panic disorder,"shortness of breath, depressive or psychotic symptoms, insomnia, chest tightness, palpitations, irregular heartbeat"
1,panic disorder,"depressive or psychotic symptoms, abnormal involuntary movements, chest tightness, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, insomnia, abnormal involuntary movements, palpitations"
1,panic disorder,"anxiety and nervousness, dizziness, insomnia, abnormal involuntary movements, palpitations, breathing fast"
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, chest tightness"
1,panic disorder,"shortness of breath, depressive or psychotic symptoms, abnormal involuntary movements, chest tightness"
1,panic disorder,"anxiety and nervousness, shortness of breath, palpitations, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, insomnia, abnormal involuntary movements, irregular heartbeat"
1,panic disorder,"depressive or psychotic symptoms, dizziness, abnormal involuntary movements, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat"
1,panic disorder,"dizziness, insomnia, chest tightness"
1,panic disorder,"depression, shortness of breath, insomnia, abnormal involuntary movements, chest tightness, irregular heartbeat, breathing fast"
1,panic disorder,"shortness of breath, depressive or psychotic symptoms, abnormal involuntary movements, chest tightness, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, irregular heartbeat, breathing fast"
1,panic disorder,"shortness of breath, depressive or psychotic symptoms, dizziness, breathing fast"
1,panic disorder,"depression, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, chest tightness, irregular heartbeat"
1,panic disorder,"depression, depressive or psychotic symptoms, insomnia, chest tightness"
1,panic disorder,"dizziness, insomnia, irregular heartbeat"
1,panic disorder,"depressive or psychotic symptoms, insomnia, abnormal involuntary movements, irregular heartbeat, breathing fast"
1,panic disorder,"shortness of breath, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, abnormal involuntary movements"
1,panic disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, dizziness, breathing fast"
1,panic disorder,"depression, shortness of breath, depressive or psychotic symptoms, abnormal involuntary movements, irregular heartbeat, breathing fast"
1,panic disorder,"shortness of breath, depressive or psychotic symptoms, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, chest tightness, palpitations, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, shortness of breath, dizziness, abnormal involuntary movements"
1,panic disorder,"depression, depressive or psychotic symptoms, dizziness, chest tightness, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness, palpitations, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"depression, shortness of breath, depressive or psychotic symptoms, chest tightness"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, chest tightness, breathing fast"
1,panic disorder,"anxiety and nervousness, insomnia, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"depression, depressive or psychotic symptoms, dizziness, abnormal involuntary movements"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, chest tightness, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, palpitations, irregular heartbeat"
1,panic disorder,"depression, depressive or psychotic symptoms, chest tightness, palpitations, irregular heartbeat"
1,panic disorder,"shortness of breath, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, dizziness"
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, chest tightness, palpitations, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, chest tightness, palpitations, breathing fast"
1,panic disorder,"depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness, palpitations"
1,panic disorder,"depression, dizziness, palpitations, breathing fast"
1,panic disorder,"anxiety and nervousness, shortness of breath, abnormal involuntary movements, chest tightness, palpitations, breathing fast"
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, insomnia, abnormal involuntary movements"
1,panic disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, palpitations"
1,panic disorder,"anxiety and nervousness, shortness of breath, dizziness, abnormal involuntary movements, breathing fast"
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, chest tightness, palpitations, breathing fast"
1,panic disorder,"depression, depressive or psychotic symptoms, insomnia, irregular heartbeat, breathing fast"
1,panic disorder,"depression, shortness of breath, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness, palpitations"
1,panic disorder,"depressive or psychotic symptoms, insomnia, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, shortness of breath, dizziness, insomnia, abnormal involuntary movements, chest tightness, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, irregular heartbeat, breathing fast"
1,panic disorder,"shortness of breath, insomnia, abnormal involuntary movements, chest tightness, palpitations, breathing fast"
1,panic disorder,"shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, chest tightness, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements"
1,panic disorder,depression
1,panic disorder,"depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, insomnia, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, dizziness, breathing fast"
1,panic disorder,"depressive or psychotic symptoms, palpitations, irregular heartbeat"
1,panic disorder,"shortness of breath, depressive or psychotic symptoms, insomnia, chest tightness, palpitations"
1,panic disorder,"anxiety and nervousness, shortness of breath, insomnia, palpitations, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, chest tightness, palpitations"
1,panic disorder,"depression, shortness of breath, depressive or psychotic symptoms, breathing fast"
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, depression, insomnia, abnormal involuntary movements, chest tightness, palpitations"
1,panic disorder,"anxiety and nervousness, depressive or psychotic symptoms, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, insomnia, chest tightness, palpitations"
1,panic disorder,"anxiety and nervousness, depressive or psychotic symptoms, abnormal involuntary movements, palpitations, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, abnormal involuntary movements, palpitations, irregular heartbeat"
1,panic disorder,"shortness of breath, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, palpitations"
1,panic disorder,"anxiety and nervousness, dizziness, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, abnormal involuntary movements, palpitations"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, chest tightness, palpitations, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, abnormal involuntary movements, chest tightness, palpitations"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, dizziness, insomnia, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, abnormal involuntary movements"
1,panic disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, dizziness, insomnia, palpitations"
1,panic disorder,"dizziness, insomnia, irregular heartbeat, breathing fast"
1,panic disorder,"depression, depressive or psychotic symptoms, insomnia, palpitations"
1,panic disorder,"depressive or psychotic symptoms, insomnia, irregular heartbeat"
1,panic disorder,"depressive or psychotic symptoms, dizziness, chest tightness, palpitations"
1,panic disorder,"anxiety and nervousness, shortness of breath, dizziness, abnormal involuntary movements, chest tightness, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, shortness of breath, dizziness, chest tightness"
1,panic disorder,"anxiety and nervousness, depression, dizziness, insomnia, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, chest tightness, palpitations"
1,panic disorder,"shortness of breath, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, palpitations, breathing fast"
1,panic disorder,"depression, shortness of breath, dizziness, palpitations"
1,panic disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, dizziness, insomnia, chest tightness, palpitations, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, dizziness, insomnia, chest tightness, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, depressive or psychotic symptoms, insomnia, chest tightness, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, insomnia, palpitations"
1,panic disorder,"depression, dizziness, insomnia"
1,panic disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness, breathing fast"
1,panic disorder,"dizziness, insomnia, abnormal involuntary movements, palpitations, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, chest tightness"
1,panic disorder,"shortness of breath, dizziness, abnormal involuntary movements, irregular heartbeat, breathing fast"
1,panic disorder,"depressive or psychotic symptoms, dizziness, insomnia, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, dizziness, chest tightness, palpitations, breathing fast"
1,panic disorder,"depression, insomnia, abnormal involuntary movements, chest tightness"
1,panic disorder,"anxiety and nervousness, abnormal involuntary movements, chest tightness"
1,panic disorder,"shortness of breath, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, chest tightness, palpitations"
1,panic disorder,"shortness of breath, depressive or psychotic symptoms, insomnia, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"shortness of breath, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, palpitations, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, insomnia, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, insomnia, chest tightness, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, insomnia, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, chest tightness, irregular heartbeat"
1,panic disorder,"depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness"
1,panic disorder,"depression, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, chest tightness, palpitations, breathing fast"
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, chest tightness, palpitations, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, insomnia, chest tightness, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, shortness of breath, dizziness, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, insomnia, abnormal involuntary movements, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, shortness of breath, insomnia, chest tightness, palpitations, breathing fast"
1,panic disorder,"depression, shortness of breath, depressive or psychotic symptoms, dizziness, palpitations, breathing fast"
1,panic disorder,"depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, dizziness, insomnia, abnormal involuntary movements, chest tightness, breathing fast"
1,panic disorder,"anxiety and nervousness, shortness of breath, breathing fast"
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, palpitations"
1,panic disorder,"anxiety and nervousness, depressive or psychotic symptoms, dizziness, insomnia, breathing fast"
1,panic disorder,"anxiety and nervousness, depressive or psychotic symptoms, dizziness, chest tightness, palpitations"
1,panic disorder,"anxiety and nervousness, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, dizziness, insomnia, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"depression, depressive or psychotic symptoms, insomnia, chest tightness, palpitations, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, chest tightness, palpitations"
1,panic disorder,"depression, insomnia, abnormal involuntary movements, breathing fast"
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, dizziness, chest tightness, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"shortness of breath, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness"
1,panic disorder,"depressive or psychotic symptoms, insomnia, palpitations, breathing fast"
1,panic disorder,"depression, shortness of breath, dizziness, abnormal involuntary movements, irregular heartbeat, breathing fast"
1,panic disorder,"depression, shortness of breath, dizziness, abnormal involuntary movements, breathing fast"
1,panic disorder,"anxiety and nervousness, shortness of breath, insomnia, chest tightness, breathing fast"
1,panic disorder,"depression, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness, breathing fast"
1,panic disorder,"anxiety and nervousness, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, chest tightness, palpitations, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, chest tightness, palpitations, breathing fast"
1,panic disorder,"anxiety and nervousness, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"depression, dizziness, abnormal involuntary movements, chest tightness, palpitations, breathing fast"
1,panic disorder,"shortness of breath, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, chest tightness"
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, chest tightness, palpitations"
1,panic disorder,"anxiety and nervousness, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness, palpitations"
1,panic disorder,"shortness of breath, depressive or psychotic symptoms, irregular heartbeat"
1,panic disorder,"depression, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, dizziness, palpitations, breathing fast"
1,panic disorder,"depression, shortness of breath, depressive or psychotic symptoms, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"depression, depressive or psychotic symptoms, dizziness, chest tightness"
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, insomnia, irregular heartbeat"
1,panic disorder,"dizziness, insomnia, abnormal involuntary movements, chest tightness, irregular heartbeat"
1,panic disorder,"depression, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"depression, shortness of breath, palpitations, irregular heartbeat"
1,panic disorder,"depressive or psychotic symptoms, chest tightness, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, chest tightness, palpitations, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, depression, dizziness, insomnia, chest tightness, palpitations, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, chest tightness, breathing fast"
1,panic disorder,"shortness of breath, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat"
1,panic disorder,"shortness of breath, insomnia, abnormal involuntary movements, irregular heartbeat, breathing fast"
1,panic disorder,"depression, shortness of breath, insomnia, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, abnormal involuntary movements, breathing fast"
1,panic disorder,"anxiety and nervousness, shortness of breath, dizziness, chest tightness, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, chest tightness, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, chest tightness, palpitations, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, depression, dizziness, insomnia, abnormal involuntary movements, chest tightness, palpitations, breathing fast"
1,panic disorder,"shortness of breath, insomnia"
1,panic disorder,"anxiety and nervousness, depressive or psychotic symptoms, dizziness, insomnia, irregular heartbeat"
1,panic disorder,"depression, shortness of breath, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, shortness of breath, dizziness, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, insomnia, chest tightness"
1,panic disorder,"depression, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, shortness of breath, insomnia, abnormal involuntary movements"
1,panic disorder,"depressive or psychotic symptoms, dizziness, chest tightness"
1,panic disorder,"depressive or psychotic symptoms, dizziness, breathing fast"
1,panic disorder,"depressive or psychotic symptoms, insomnia, abnormal involuntary movements, chest tightness, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, chest tightness, palpitations"
1,panic disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, dizziness, chest tightness, palpitations, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, palpitations, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, abnormal involuntary movements, palpitations"
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, abnormal involuntary movements, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, dizziness, chest tightness, palpitations"
1,panic disorder,"depression, shortness of breath, dizziness, palpitations, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, dizziness, abnormal involuntary movements"
1,panic disorder,"shortness of breath, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness, irregular heartbeat"
1,panic disorder,"shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, irregular heartbeat"
1,panic disorder,"depression, dizziness, chest tightness, palpitations, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, dizziness, palpitations, breathing fast"
1,panic disorder,"anxiety and nervousness, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, insomnia, chest tightness, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, shortness of breath, insomnia, palpitations, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, shortness of breath, dizziness, insomnia, abnormal involuntary movements, palpitations, breathing fast"
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, chest tightness, palpitations"
1,panic disorder,"shortness of breath, chest tightness, palpitations"
1,panic disorder,"anxiety and nervousness, depression, abnormal involuntary movements, palpitations, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, abnormal involuntary movements, breathing fast"
1,panic disorder,"depressive or psychotic symptoms, insomnia, abnormal involuntary movements, palpitations, breathing fast"
1,panic disorder,"anxiety and nervousness, dizziness, insomnia, chest tightness, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"shortness of breath, abnormal involuntary movements, palpitations, irregular heartbeat"
1,panic disorder,"depression, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, irregular heartbeat"
1,panic disorder,"depression, shortness of breath, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness, breathing fast"
1,panic disorder,"depression, shortness of breath, depressive or psychotic symptoms"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, chest tightness, palpitations"
1,panic disorder,"depression, shortness of breath, dizziness, insomnia, abnormal involuntary movements, chest tightness"
1,panic disorder,"depression, depressive or psychotic symptoms, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat"
1,panic disorder,"depressive or psychotic symptoms, chest tightness, irregular heartbeat, breathing fast"
1,panic disorder,"depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness, irregular heartbeat, breathing fast"
1,panic disorder,"anxiety and nervousness, dizziness, insomnia, chest tightness"
1,panic disorder,"depression, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, palpitations, breathing fast"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, palpitations, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, dizziness, palpitations, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, irregular heartbeat"
1,panic disorder,"depression, depressive or psychotic symptoms"
1,panic disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, dizziness, insomnia, chest tightness, palpitations"
1,panic disorder,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, palpitations, irregular heartbeat, breathing fast"
1,panic disorder,"shortness of breath, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness, palpitations, breathing fast"
1,panic disorder,"depressive or psychotic symptoms, insomnia"
1,panic disorder,"anxiety and nervousness, depression, dizziness, irregular heartbeat, breathing fast"
1,panic disorder,"depression, shortness of breath, insomnia, irregular heartbeat"
1,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness, palpitations"
1,panic disorder,"anxiety and nervousness, shortness of breath, dizziness, insomnia, palpitations"
